at,csho,dltt,ebit,ebitda,ni,prcc_c,prch_c,prcl_c,exchg
1378.636,241.529,313.385,-344.81,-153.966,-341.203,8.08,8.29,2.78,11
2083.169,23.982,392.238,86.458,198.143,53.825,166.35,173.92,97.07,14
1077.71,41.395,375.395,-23.037,35.834,-69.7,22.85,23.03,11.37,14
15034,854.702,7824,3759,4278,2367,68.84,76.41,58.62,11
307.968,9.401,0,48.46,65.667,32.711,118.48,127.5,80.51,12
29405,232.1,7647,2634,3184,1532,208.29,212.65,141.63,11
263414,4553.034,106822,21305,34258,13057,44.97,47.27,33.42,14
73402,142.096,6961,1937,2051,1198,71.75,88.96,58.54,11
26065.789,112.35,29.442,684.994,726.139,421.231,67.94,68.65,52.0476,14
1951158,2114.123,214843,40431,44336,19401,79.89,80.415,50.67,11
3758.771,117.925,1227.214,392.49,551.161,198.093,22.27,22.86,13.265,11
59.151,9.253,0.244,0.008,1.041,6.469,6.17,9.8991,2.03,14
23126,73.9,16695,785,2938,302,32.24,37.27,21.629,14
26006,253.525,9735,1002,2944,-5369,37.59,69.4534,26.02,11
158.706,14.707,20.639,7.412,10.68,4.125,5.18,6.23,3.9,14
887.711,24.243,165,51.798,82.045,25.041,35.49,38,20.945,14
22304,487.162,9106.9,1805.6,2194.5,840.1,34.24,35.59,20.8,11
10.426,15.091,1.584,0.416,0.882,-0.75,1.65,3.6,0.862,14
630.512,35.497,47.313,20.155,70.07,20.108,42.88,50.09,33.26,11
865.918,8.718,419.908,9.113,9.113,-26.92,39.88,41.5,22.85,11
58079,333,19336,2676,4360,1343,90.47,94.97,73.295,11
1139.309,0.621,316.453,5.616,33.123,45.38,114.42,165.65,80.9,11
1139.309,0.621,316.453,5.616,33.123,45.38,114.42,165.65,80.9,11
703.286,4.77,212.583,12.221,28.018,114.973,60.32,68.6435,51.4,11
26837,283.864,12064,1239,2231,680,62.84,65.31,47.97,11
89.983,1.713,3.991,-7.806,-5.844,-13.899,7.8595,24.92,7.2,12
15727.907,371.074,5329.512,1256.877,3356.717,775.641,34.3,52.035,27.26,11
2802.338,50.203,364.519,197.448,345.502,96.404,28.75,35.29,22.46,11
6274.5,49.1,1262.6,586.5,867.3,466.7,321.29,344.3184,241.7217,11
28859.8,216.3,8229,1500.9,2328.2,241.7,53.9,67.24,49.82,11
28859.8,216.3,8229,1500.9,2328.2,241.7,53.9,67.24,49.82,11
28898,762,8179,1752,3255,960,29.11,35.34,26.745,11
7151.447,146.762,2253.385,148.766,,150.418,41.2,41.37,30.76,11
1581.225,24.049,400,282.844,390.138,223.401,153.74,180.93,149.5006,14
4423.7,59.002,933.5,493.8,605.4,133.3,86.38,91.23,69.04,11
760.013,53.281,235.472,67.684,108.197,12.485,11.47,11.9,8.11,11
760.013,53.281,235.472,67.684,108.197,12.485,11.47,11.9,8.11,11
22817,136.101,17388,2117,2388,855,42.15,44.87,23.44,11
15505,135.578,7985,1195,1685,510,72.54,78.285,40.21,11
57.173,10.167,7.537,7.737,9.308,6.561,6.15,7.935,4.01,14
1847.17,31.178,251.104,81.508,146.25,49.694,63.57,75.2,52.42,11
34027.428,62.669,554.45,630.637,684.728,443.599,97.78,106.23,79.86,11
215.084,12.285,31.766,6.074,14.277,-28.667,13.62,21.08,13.09,11
19737,150.5,1946,2505,3174,2260,178.96,186.725,130.03,11
3764.261,42.68,916.745,403.953,506.365,307.583,140.89,144.82,98.99,11
4994.529,224.889,3636.145,265.297,396.99,136.94,22.21,22.84,15.325,14
7220,143.943,2476,624,963,226,18.2,20.96,11.57,11
62081.6,695.5,22155.8,3362.4,4551.9,3008.2,153.48,154,96.44,11
28.281,8.213,1.178,-1.278,-0.411,-1.187,4.247,6.88,3.23,14
127.608,23.287,6.036,-14.796,7.03,-15.213,2.4,4.28,1.9,14
42779,504.199,13613,4641,7245,3281,128.21,130.24,64.76,11
73011,313.14,30229,5492,7511,3253,173.26,180.48,132.68,11
64532,642.771,14167,6618,9199,4767,58.48,63.4369,45.08,11
1943.311,42.126,917.085,317.467,443.503,-199.897,49.92,54.145,36.11,11
41882,192.209,16062,1725,2988,1169,129.87,134.367,107.33,11
2242.696,55.303,398.094,215.736,267.477,95.168,34.97,51.79,27.58,11
1763.063,9.191,932.159,25.663,61.491,-264.661,8.94,32.69,5.78,19
3790.6,76.813,2216.5,140.2,344.5,-341.3,10.56,14.66,2.415,11
61.41,2.658,19.084,0.224,2.369,-1.228,4.87,7.46,2.6499,14
3430.257,24.197,599.087,167.492,389.841,111.081,73.48,86.7126,47.95,11
