,Title,Source,Datetime,file,path
128,Brazilian infrastructure firm CCR may scrap shareholders agreement -sources,Reuters,"Fri, May 21, 2021, 5:38 PM",129_article.txt,\yahoo_finance_news\129_article.txt
129,Sporting Lisbon Creditors Seek to Exit Ronaldo’s Old Club,Bloomberg,"Fri, May 21, 2021, 5:38 PM",130_article.txt,\yahoo_finance_news\130_article.txt
130,Top Hedge Fund in Brazil Bolsters Local Stocks Bet on Rebound,Bloomberg,"Fri, May 21, 2021, 5:38 PM",131_article.txt,\yahoo_finance_news\131_article.txt
131,Biden Fight Against Climate Financial Risk Can’t Be One-Joe Show,Bloomberg,"Fri, May 21, 2021, 5:37 PM",132_article.txt,\yahoo_finance_news\132_article.txt
132,Hollywood can 'absolutely' make political statements: Tribeca Enterprises CEO,Yahoo Finance,"Fri, May 21, 2021, 5:36 PM",133_article.txt,\yahoo_finance_news\133_article.txt
133,"UPDATE 4-Apple App Store profits look 'disproportionate,' U.S. judge tells CEO Cook",Reuters,"Fri, May 21, 2021, 5:35 PM",134_article.txt,\yahoo_finance_news\134_article.txt
134,U.K. to Tell Homeowners to Ditch Gas Boilers in Green Plan,Bloomberg,"Fri, May 21, 2021, 5:35 PM",135_article.txt,\yahoo_finance_news\135_article.txt
135,WRAPUP 2-U.S. manufacturing accelerates; tight supply pushes home sales to 10-month low,Reuters,"Fri, May 21, 2021, 5:33 PM",136_article.txt,\yahoo_finance_news\136_article.txt
136,"Italy reports 218 coronavirus deaths on Friday, 5,218 new cases",Reuters,"Fri, May 21, 2021, 5:32 PM",137_article.txt,\yahoo_finance_news\137_article.txt
137,Seaboard Foods fails in attempt to delay U.S. hog slaughter limits,Reuters,"Fri, May 21, 2021, 5:29 PM",138_article.txt,\yahoo_finance_news\138_article.txt
138,REFILE-Shipbuilder gets go-ahead for lawsuit against Mozambican leader in tuna scandal,Reuters,"Fri, May 21, 2021, 5:25 PM",139_article.txt,\yahoo_finance_news\139_article.txt
139,India's JSW Steel examining bid for Gupta's British business -sources,Reuters,"Fri, May 21, 2021, 5:25 PM",140_article.txt,\yahoo_finance_news\140_article.txt
140,Foot Locker to close Footaction stores after colossal Q1 earnings,Yahoo Finance,"Fri, May 21, 2021, 6:18 PM",141_article.txt,\yahoo_finance_news\141_article.txt
141,This week in Bideonomics: Biden’s best revenue idea,Yahoo Finance,"Fri, May 21, 2021, 7:29 PM",142_article.txt,\yahoo_finance_news\142_article.txt
142,GoodRx CEO dismisses Amazon threat: Customers 'love to talk to a person in a white coat',Yahoo Finance,"Fri, May 21, 2021, 7:18 PM",143_article.txt,\yahoo_finance_news\143_article.txt
143,Will Biden cancel $50K in student loan debt? He's sounding more skeptical,MoneyWise,"Fri, May 21, 2021, 7:50 PM",144_article.txt,\yahoo_finance_news\144_article.txt
144,"White House offers Republicans $1.7 trillion infrastructure plan, down from $2.3 trillion",Yahoo Finance,"Fri, May 21, 2021, 8:58 PM",145_article.txt,\yahoo_finance_news\145_article.txt
145,"How Shake Shack, McDonald's and others are lending a hand to the COVID vaccine push",Yahoo Finance,"Fri, May 21, 2021, 6:18 PM",146_article.txt,\yahoo_finance_news\146_article.txt
146,Warren Buffett gave this investing tip to NFL defenseman Ndamukong Suh,Yahoo Finance,"Fri, May 21, 2021, 5:16 PM",147_article.txt,\yahoo_finance_news\147_article.txt
147,New Stimulus Checks Could Start Hitting Your Account Automatically,GOBankingRates,"Fri, May 21, 2021, 12:20 PM",148_article.txt,\yahoo_finance_news\148_article.txt
148,Can employers legally require unvaccinated workers to wear masks? The answer is likely yes,Yahoo Finance,"Thu, May 20, 2021, 2:13 PM",149_article.txt,\yahoo_finance_news\149_article.txt
149,"So long, Internet Explorer, and your decades of security bugs",TechCrunch,"Thu, May 20, 2021, 2:45 PM",150_article.txt,\yahoo_finance_news\150_article.txt
